schema	1
# The executable registry, this mutant set, and the owner registry are exact
# in both directions. Every mutant runs the complete assertion set. Its red set
# must equal the one owner below; every other assertion is a green control.
mutant	drop-binding-set	src/check/checker.dawn	or-pattern alternatives bind the same name set
mutant	drop-binding-type	src/check/checker.dawn	or-pattern alternatives bind each name at one type
mutant	restore-derived-binding-check	src/check/checker.dawn	invalid alternatives do not emit derived binding diagnostics
mutant	skip-qualified-let-dispatch	src/front/parser.dawn	qualified constructor lets use structural pattern parsing
mutant	disable-leading-pattern-pipe	src/front/parser.dawn	or-patterns accept line-leading continuation pipes
mutant	break-list-rest-definition	src/lsp/lspq.dawn	list-rest alternatives resolve to the first canonical binding
mutant	collect-all-or-completions	src/lsp/lspq.dawn,src/lsp/lspc.dawn	or-pattern completion deduplicates the shared symbol
mutant	drop-qualified-pattern-queries	src/lsp/lspq.dawn	qualified constructor patterns expose constructor and binding queries
mutant	duplicate-arm-test	src/ir/lower.dawn	or-pattern guards run once per arm
mutant	duplicate-arm-body	src/ir/lower.dawn	or-pattern bodies run once per arm
mutant	prefer-last-alternative	src/ir/lower.dawn	or-pattern alternatives preserve the first matching bindings
mutant	truncate-nested-list-or	src/ir/lower.dawn	remaining or-pattern results match the written oracle
mutant	skip-complete-or-reduction	src/check/exhaustive.dawn	complete boolean subpatterns avoid usefulness expansion
mutant	drop-usefulness-budget-diagnostic	src/check/checker.dawn	pathological usefulness analysis fails closed at its work budget
