schema	1
# Every mutant runs the complete assertion set. Its observed red set must be
# exactly the single owner below; all other assertions are green controls.
mutant	reject-record-for-head	src/front/parser.dawn	for headers reuse the complete recursive pattern grammar
mutant	skip-irrefutability	src/check/checker.dawn	refutable for patterns are rejected rather than filtered
mutant	drop-bindings	src/ir/lower.dawn	for pattern bindings reach the body with correct values
mutant	inline-iter-get	src/ir/lower.dawn	iter_get is evaluated once per iteration before pattern lowering
mutant	reuse-source-expression	src/ir/lower.dawn	iterable sources are evaluated once before the loop
mutant	move-source-into-loop	src/ir/lower.dawn	iterable source is evaluated before loop entry
mutant	move-iter-start-into-loop	src/ir/lower.dawn	iter_start is evaluated before loop entry
mutant	move-iter-get-after-pattern	src/ir/lower.dawn	iter_get initializes the hidden item before pattern lowering
mutant	leak-scope	src/check/checker.dawn	for pattern bindings stay inside the loop body
mutant	skip-LSP-visit	src/lsp/lspq.dawn	for pattern headers expose binder and constructor queries
mutant	restore-range-dot-block	src/lsp/lspc.dawn	range upper-bound completion offers outer locals
mutant	restore-wide-completion	src/lsp/lspq.dawn	for completion does not leak pattern or body locals
mutant	drop-derived-diagnostic-suppression	src/check/checker.dawn	invalid for patterns suppress derived irrefutability diagnostics
mutant	repeat-iter-start	src/ir/lower.dawn	iter_start is evaluated once before the loop
mutant	drop-complexity-diagnostic	src/check/checker.dawn	for irrefutability analysis fails closed at its work budget
mutant	reuse-pattern-binder-as-induction	src/ir/lower.dawn	range loops keep induction state separate from pattern bindings
mutant	drop-never-source-lowering	src/ir/lower.dawn	nonreturning iterable sources lower once as bottom without a witness
mutant	skip-pattern-context-completion	src/lsp/lspc.dawn	for pattern completion suppresses values across the recursive header
mutant	choose-earliest-incomplete-for	src/lsp/lspc.dawn	incomplete pattern recovery selects the latest enclosing for
mutant	cross-ordinary-newline	src/lsp/lspc.dawn	incomplete pattern recovery does not cross an ordinary newline
mutant	drop-nested-recovery-depth	src/lsp/lspc.dawn	incomplete pattern recovery preserves nested delimiter depth
mutant	drop-record-recovery-depth	src/lsp/lspc.dawn	incomplete pattern recovery preserves record delimiter depth
mutant	accept-nested-header-in	src/lsp/lspc.dawn	incomplete pattern recovery requires a top-level in delimiter
mutant	ignore-incomplete-pattern-pipe	src/lsp/lspc.dawn	incomplete pattern recovery requires a preceding pipe
mutant	accept-nonboundary-alternative	src/lsp/lspc.dawn	incomplete pattern recovery requires a same-depth pattern boundary
mutant	escape-incomplete-header-interval	src/lsp/lspc.dawn	incomplete pattern recovery stays before in, outside source body and after
mutant	admit-rejected-source-constructor	src/lsp/lspc.dawn	incomplete pattern recovery excludes rejected source constructors
mutant	skip-qualified-pattern-constructors	src/lsp/lspc.dawn	for pattern qualified completion exposes only module constructors
